iter	Passed	Remaining
0	142	71276
1	154	38349
2	165	27421
3	176	21912
4	187	18514
5	197	16227
6	206	14541
7	217	13383
8	231	12629
9	243	11947
10	254	11300
11	264	10766
12	274	10266
13	284	9883
14	294	9519
15	304	9204
16	314	8934
17	324	8676
18	335	8491
19	346	8318
20	356	8131
21	365	7946
22	375	7779
23	384	7626
24	394	7487
25	403	7348
26	412	7221
27	421	7105
28	430	6993
29	438	6875
30	446	6761
31	455	6663
32	463	6565
33	472	6473
34	478	6352
35	486	6276
36	495	6198
37	502	6113
38	510	6037
39	518	5967
40	526	5892
41	534	5825
42	539	5736
43	547	5675
44	555	5619
45	564	5567
46	572	5514
47	580	5464
48	589	5422
49	598	5385
50	606	5341
51	615	5305
52	625	5272
53	634	5238
54	642	5201
55	650	5160
56	657	5108
57	665	5074
58	674	5039
59	682	5004
60	690	4970
61	699	4945
62	708	4917
63	719	4899
64	729	4882
65	739	4865
66	749	4845
67	756	4805
68	765	4784
69	774	4758
70	783	4734
71	792	4709
72	801	4686
73	809	4660
74	817	4635
75	826	4609
76	834	4583
77	843	4562
78	851	4538
79	859	4514
80	867	4485
81	875	4461
82	883	4439
83	891	4416
84	899	4393
85	907	4370
86	916	4352
87	926	4336
88	934	4317
89	943	4298
90	952	4280
91	960	4259
92	968	4238
93	978	4224
94	987	4209
95	995	4190
96	1005	4176
97	1015	4164
98	1024	4148
99	1034	4137
100	1044	4126
101	1054	4113
102	1063	4100
103	1072	4084
104	1081	4069
105	1089	4051
106	1098	4034
107	1106	4016
108	1115	4001
109	1123	3984
110	1132	3967
111	1139	3949
112	1148	3934
113	1157	3917
114	1165	3902
115	1173	3886
116	1182	3869
117	1190	3854
118	1198	3838
119	1207	3823
120	1216	3810
121	1225	3797
122	1233	3781
123	1241	3764
124	1249	3748
125	1257	3733
126	1266	3718
127	1274	3704
128	1283	3689
129	1291	3676
130	1300	3662
131	1308	3647
132	1316	3633
133	1325	3619
134	1333	3605
135	1342	3592
136	1351	3580
137	1360	3567
138	1368	3554
139	1376	3540
140	1384	3526
141	1394	3514
142	1402	3500
143	1410	3487
144	1418	3473
145	1427	3460
146	1435	3447
147	1443	3433
148	1451	3419
149	1459	3406
150	1468	3395
151	1477	3382
152	1486	3371
153	1495	3360
154	1504	3348
155	1512	3334
156	1520	3322
157	1529	3309
158	1538	3298
159	1546	3285
160	1554	3272
161	1562	3260
162	1572	3250
163	1580	3238
164	1588	3225
165	1597	3213
166	1605	3201
167	1614	3190
168	1624	3181
169	1634	3172
170	1643	3161
171	1653	3152
172	1662	3143
173	1672	3132
174	1681	3122
175	1690	3111
176	1698	3099
177	1707	3088
178	1716	3077
179	1724	3065
180	1732	3053
181	1741	3042
182	1749	3030
183	1757	3019
184	1766	3007
185	1774	2996
186	1783	2985
187	1792	2975
188	1801	2964
189	1809	2953
190	1818	2941
191	1826	2930
192	1835	2919
193	1844	2908
194	1852	2897
195	1860	2885
196	1869	2874
197	1877	2864
198	1887	2854
199	1896	2844
200	1905	2834
201	1914	2824
202	1923	2813
203	1932	2803
204	1940	2792
205	1950	2783
206	1960	2774
207	1969	2765
208	1979	2756
209	1989	2747
210	1998	2737
211	2008	2728
212	2017	2717
213	2025	2707
214	2034	2697
215	2043	2686
216	2051	2675
217	2060	2666
218	2069	2654
219	2077	2644
220	2086	2633
221	2094	2623
222	2103	2613
223	2112	2602
224	2120	2592
225	2129	2581
226	2137	2570
227	2145	2560
228	2153	2549
229	2162	2538
230	2170	2527
231	2178	2516
232	2187	2506
233	2196	2496
234	2205	2486
235	2213	2475
236	2222	2466
237	2231	2456
238	2240	2447
239	2250	2437
240	2260	2429
241	2270	2420
242	2279	2410
243	2289	2401
244	2298	2392
245	2307	2382
246	2316	2373
247	2326	2363
248	2335	2354
249	2344	2344
250	2352	2334
251	2361	2324
252	2369	2313
253	2378	2303
254	2386	2292
255	2394	2282
256	2402	2271
257	2411	2262
258	2419	2251
259	2427	2241
260	2435	2230
261	2444	2220
262	2453	2210
263	2461	2200
264	2471	2191
265	2479	2181
266	2488	2171
267	2496	2161
268	2504	2150
269	2513	2140
270	2521	2130
271	2529	2120
272	2537	2109
273	2546	2100
274	2555	2090
275	2563	2080
276	2571	2069
277	2578	2059
278	2587	2049
279	2595	2039
280	2604	2029
281	2614	2021
282	2622	2010
283	2630	2000
284	2638	1990
285	2646	1980
286	2654	1970
287	2662	1960
288	2671	1950
289	2679	1940
290	2687	1930
291	2695	1920
292	2704	1910
293	2712	1900
294	2720	1890
295	2728	1880
296	2736	1870
297	2745	1860
298	2753	1851
299	2761	1840
300	2769	1830
301	2778	1821
302	2786	1811
303	2793	1801
304	2802	1791
305	2810	1782
306	2819	1772
307	2827	1762
308	2835	1752
309	2842	1742
310	2850	1732
311	2859	1722
312	2867	1713
313	2875	1703
314	2883	1693
315	2892	1684
316	2900	1674
317	2908	1664
318	2916	1654
319	2924	1645
320	2932	1635
321	2940	1625
322	2948	1615
323	2955	1605
324	2963	1595
325	2971	1586
326	2979	1576
327	2988	1567
328	2996	1557
329	3004	1547
330	3012	1538
331	3021	1528
332	3030	1519
333	3038	1510
334	3046	1500
335	3054	1491
336	3063	1481
337	3071	1472
338	3079	1462
339	3088	1453
340	3096	1443
341	3103	1433
342	3112	1424
343	3119	1414
344	3128	1405
345	3136	1395
346	3144	1386
347	3152	1376
348	3161	1367
349	3170	1358
350	3178	1349
351	3186	1339
352	3194	1330
353	3202	1320
354	3210	1311
355	3218	1301
356	3226	1292
357	3235	1283
358	3243	1273
359	3251	1264
360	3259	1255
361	3268	1245
362	3276	1236
363	3283	1226
364	3292	1217
365	3302	1208
366	3310	1199
367	3318	1190
368	3326	1180
369	3334	1171
370	3343	1162
371	3351	1153
372	3359	1143
373	3368	1134
374	3376	1125
375	3384	1116
376	3392	1106
377	3400	1097
378	3409	1088
379	3417	1079
380	3425	1069
381	3434	1060
382	3443	1051
383	3452	1043
384	3461	1034
385	3471	1025
386	3481	1016
387	3490	1007
388	3500	998
389	3508	989
390	3518	980
391	3527	971
392	3536	962
393	3545	953
394	3555	945
395	3564	936
396	3574	927
397	3584	918
398	3595	910
399	3605	901
400	3614	892
401	3623	883
402	3631	874
403	3641	865
404	3650	856
405	3659	847
406	3667	838
407	3676	829
408	3684	819
409	3692	810
410	3700	801
411	3708	792
412	3716	782
413	3725	773
414	3733	764
415	3741	755
416	3750	746
417	3759	737
418	3767	728
419	3776	719
420	3786	710
421	3794	701
422	3802	692
423	3811	683
424	3819	674
425	3828	664
426	3836	655
427	3844	646
428	3851	637
429	3860	628
430	3868	619
431	3877	610
432	3884	601
433	3892	591
434	3901	582
435	3909	573
436	3917	564
437	3926	555
438	3935	546
439	3944	537
440	3952	528
441	3960	519
442	3968	510
443	3977	501
444	3986	492
445	3994	483
446	4003	474
447	4011	465
448	4019	456
449	4027	447
450	4035	438
451	4044	429
452	4052	420
453	4061	411
454	4070	402
455	4078	393
456	4087	384
457	4095	375
458	4103	366
459	4111	357
460	4119	348
461	4127	339
462	4136	330
463	4143	321
464	4151	312
465	4159	303
466	4167	294
467	4175	285
468	4184	276
469	4192	267
470	4202	258
471	4212	249
472	4221	240
473	4230	232
474	4241	223
475	4250	214
476	4260	205
477	4269	196
478	4279	187
479	4289	178
480	4298	169
481	4307	160
482	4316	151
483	4325	142
484	4334	134
485	4344	125
486	4353	116
487	4361	107
488	4371	98
489	4388	89
490	4400	80
491	4413	71
492	4425	62
493	4435	53
494	4444	44
495	4454	35
496	4463	26
497	4474	17
498	4483	8
499	4492	0
